Disease,Medications,Age Group,Dosage
Fungal infection,"Antifungal Cream, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole",18–30,Antifungal Cream: Standard adult dose; Fluconazole: 150 mg once weekly; Terbinafine: Standard adult dose; Clotrimazole: Standard adult dose; Ketoconazole: Standard adult dose
Fungal infection,"Antifungal Cream, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole",31–40,"Antifungal Cream: Standard dose, check tolerability; Fluconazole: 150 mg once weekly; Terbinafine: Standard dose, check tolerability; Clotrimazole: Standard dose, check tolerability; Ketoconazole: Standard dose, check tolerability"
Fungal infection,"Antifungal Cream, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole",41–50,"Antifungal Cream: Standard dose, monitor early effects; Fluconazole: 150 mg once weekly with liver monitoring; Terbinafine: Standard dose, monitor early effects; Clotrimazole: Standard dose, monitor early effects; Ketoconazole: Standard dose, monitor early effects"
Fungal infection,"Antifungal Cream, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole",51–60,Antifungal Cream: Minimum effective dose; Fluconazole: 100 mg once weekly; Terbinafine: Minimum effective dose; Clotrimazole: Minimum effective dose; Ketoconazole: Minimum effective dose
Fungal infection,"Antifungal Cream, Fluconazole, Terbinafine, Clotrimazole, Ketoconazole",61–70,"Antifungal Cream: Reduced dose or enhanced monitoring; Fluconazole: 100 mg once weekly, monitor liver function; Terbinafine: Reduced dose or enhanced monitoring; Clotrimazole: Reduced dose or enhanced monitoring; Ketoconazole: Reduced dose or enhanced monitoring"
Allergy,"Antihistamines, Decongestants, Epinephrine, Corticosteroids, Immunotherapy",18–30,Antihistamines: Standard adult dose; Decongestants: Standard adult dose; Epinephrine: Standard adult dose; Corticosteroids: Standard adult dose; Immunotherapy: Standard adult dose
Allergy,"Antihistamines, Decongestants, Epinephrine, Corticosteroids, Immunotherapy",31–40,"Antihistamines: Standard dose, check tolerability; Decongestants: Standard dose, check tolerability; Epinephrine: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability; Immunotherapy: Standard dose, check tolerability"
Allergy,"Antihistamines, Decongestants, Epinephrine, Corticosteroids, Immunotherapy",41–50,"Antihistamines: Standard dose, monitor early effects; Decongestants: Standard dose, monitor early effects; Epinephrine: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects; Immunotherapy: Standard dose, monitor early effects"
Allergy,"Antihistamines, Decongestants, Epinephrine, Corticosteroids, Immunotherapy",51–60,Antihistamines: Minimum effective dose; Decongestants: Minimum effective dose; Epinephrine: Minimum effective dose; Corticosteroids: Minimum effective dose; Immunotherapy: Minimum effective dose
Allergy,"Antihistamines, Decongestants, Epinephrine, Corticosteroids, Immunotherapy",61–70,Antihistamines: Reduced dose or enhanced monitoring; Decongestants: Reduced dose or enhanced monitoring; Epinephrine: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring; Immunotherapy: Reduced dose or enhanced monitoring
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics",18–30,Proton Pump Inhibitors (Ppis): 20 mg daily before meals; H2 Blockers: Standard adult dose; Antacids: Standard adult dose; Prokinetics: Standard adult dose; Antibiotics: Standard adult dose
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics",31–40,"Proton Pump Inhibitors (Ppis): 20 mg once daily; H2 Blockers: Standard dose, check tolerability; Antacids: Standard dose, check tolerability; Prokinetics: Standard dose, check tolerability; Antibiotics: Standard dose, check tolerability"
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics",41–50,"Proton Pump Inhibitors (Ppis): 20–40 mg/day; H2 Blockers: Standard dose, monitor early effects; Antacids: Standard dose, monitor early effects; Prokinetics: Standard dose, monitor early effects; Antibiotics: Standard dose, monitor early effects"
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics",51–60,"Proton Pump Inhibitors (Ppis): 20 mg/day, avoid long-term use; H2 Blockers: Minimum effective dose; Antacids: Minimum effective dose; Prokinetics: Minimum effective dose; Antibiotics: Minimum effective dose"
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics",61–70,Proton Pump Inhibitors (Ppis): 20 mg/day with calcium/vitamin D supplements; H2 Blockers: Reduced dose or enhanced monitoring; Antacids: Reduced dose or enhanced monitoring; Prokinetics: Reduced dose or enhanced monitoring; Antibiotics: Reduced dose or enhanced monitoring
